mr0_0,0,B
mr0_0,1,B
mr0_0,2,B
mr0_0,3,A
mr0_0,4,A
mr0_0,5,A
mr0_0,6,B
mr0_0,7,A
mr0_0,8,A
mr0_0,9,A
mr0_0,10,A
mr0_1,100,B
mr0_1,101,B
mr0_1,102,B
mr0_1,103,B
mr0_1,104,A
mr0_1,105,B
mr0_1,106,A
mr0_1,107,A
mr0_1,108,A
mr0_1,109,A
mr0_1,110,A
mr0_2,200,B
mr0_2,201,B
mr0_2,202,B
mr0_2,203,A
mr0_2,204,B
mr0_2,205,B
mr0_2,206,B
mr0_2,207,A
mr0_2,208,A
mr0_2,209,A
mr0_2,210,A
mr0_3,300,B
mr0_3,301,B
mr0_3,302,B
mr0_3,303,B
mr0_3,304,B
mr0_3,305,A
mr0_3,306,B
mr0_3,307,A
mr0_3,308,A
mr0_3,309,A
mr0_3,310,A
mr0_4,400,B
mr0_4,401,B
mr0_4,402,B
mr0_4,403,B
mr0_4,404,B
mr0_4,405,B
mr0_4,406,B
mr0_4,407,A
mr0_4,408,A
mr0_4,409,A
mr0_4,410,A
mr0_5,500,B
mr0_5,501,B
mr0_5,502,B
mr0_5,503,B
mr0_5,504,B
mr0_5,505,A
mr0_5,506,A
mr0_5,507,A
mr0_5,508,A
mr0_5,509,A
mr0_5,510,A
mr0_6,600,B
mr0_6,601,B
mr0_6,602,B
mr0_6,603,B
mr0_6,604,B
mr0_6,605,A
mr0_6,606,A
mr0_6,607,A
mr0_6,608,A
mr0_6,609,A
mr0_6,610,A
mr0_7,700,B
mr0_7,701,B
mr0_7,702,B
mr0_7,703,A
mr0_7,704,B
mr0_7,705,A
mr0_7,706,A
mr0_7,707,A
mr0_7,708,A
mr0_7,709,A
mr0_7,710,A
mr0_8,800,B
mr0_8,801,B
mr0_8,802,B
mr0_8,803,B
mr0_8,804,B
mr0_8,805,B
mr0_8,806,A
mr0_8,807,A
mr0_8,808,A
mr0_8,809,A
mr0_8,810,A
mr0_9,900,B
mr0_9,901,B
mr0_9,902,B
mr0_9,903,B
mr0_9,904,A
mr0_9,905,A
mr0_9,906,A
mr0_9,907,A
mr0_9,908,A
mr0_9,909,A
mr0_9,910,A
mr0_10,1000,B
mr0_10,1001,B
mr0_10,1002,A
mr0_10,1003,B
mr0_10,1004,B
mr0_10,1005,A
mr0_10,1006,A
mr0_10,1007,B
mr0_10,1008,B
mr0_10,1009,A
mr0_10,1010,A
mr0_11,1100,B
mr0_11,1101,B
mr0_11,1102,B
mr0_11,1103,A
mr0_11,1104,A
mr0_11,1105,B
mr0_11,1106,A
mr0_11,1107,B
mr0_11,1108,A
mr0_11,1109,A
mr0_11,1110,A
mr0_12,1200,B
mr0_12,1201,B
mr0_12,1202,B
mr0_12,1203,B
mr0_12,1204,B
mr0_12,1205,B
mr0_12,1206,B
